time,event,patient_id,Nq,Ns,c,regime,policy_activated
126.58639466829463,arrival,151,36,5,5,overload,1
127.00666697413337,arrival,152,37,5,5,overload,1
127.03047979510306,departure,110,38,5,5,overload,1
127.03047979510306,service_start,114,37,5,5,overload,1
127.37733275838251,arrival,153,37,5,5,overload,1
127.50616585491164,arrival,154,38,5,5,overload,1
127.61026872923259,arrival,155,39,5,5,overload,1
127.63523212710781,departure,108,40,5,5,overload,1
127.63523212710781,service_start,115,39,5,5,overload,1
128.17277333752722,arrival,156,39,5,5,overload,1
128.4966735034923,arrival,157,40,5,5,overload,1
128.71935395679662,arrival,158,41,5,5,overload,1
128.73186421216542,arrival,159,42,5,5,overload,1
128.77889855462814,arrival,160,43,5,5,overload,1
129.83735821083178,arrival,161,44,5,5,overload,1
129.9473987675116,arrival,162,45,5,5,overload,1
130.1973108531064,arrival,163,46,5,5,overload,1
131.8567535742587,departure,115,47,5,5,overload,1
131.8567535742587,service_start,116,46,5,5,overload,1
132.07827100461154,departure,116,46,5,5,overload,1
132.07827100461154,service_start,117,45,5,5,overload,1
132.7888720923645,departure,112,45,5,5,overload,1
132.7888720923645,service_start,118,44,5,5,overload,1
134.65162679036197,arrival,164,44,5,5,overload,1
134.7274726222005,departure,114,45,5,5,overload,1
134.7274726222005,service_start,119,44,5,5,overload,1
134.7373202892457,departure,113,44,5,5,overload,1
134.7373202892457,service_start,120,43,5,5,overload,1
134.87032557911306,departure,119,43,5,5,overload,1
134.87032557911306,service_start,121,42,5,5,overload,1
135.18642616806864,arrival,165,42,5,5,overload,1
135.55782359604925,departure,117,43,5,5,overload,1
135.55782359604925,service_start,122,42,5,5,overload,1
135.75197097274008,arrival,166,42,5,5,overload,1
135.78549682261246,departure,122,43,5,5,overload,1
135.78549682261246,service_start,123,42,5,5,overload,1
136.05183193559068,departure,123,42,5,5,overload,1
136.05183193559068,service_start,124,41,5,5,overload,1
136.37800058195324,departure,120,41,5,5,overload,1
136.37800058195324,service_start,125,40,5,5,overload,1
136.7587242827616,departure,124,40,5,5,overload,1
136.7587242827616,service_start,126,39,5,5,overload,1
137.04347978087588,departure,118,39,5,5,overload,1
137.04347978087588,service_start,127,38,5,5,overload,1
137.07015109497692,arrival,167,38,5,5,overload,1
137.47763545996116,arrival,168,39,5,5,overload,1
137.8069998612143,arrival,169,40,5,5,overload,1
137.81466323071058,departure,121,41,5,5,overload,1
137.81466323071058,service_start,128,40,5,5,overload,1
138.73630859159746,arrival,170,40,5,5,overload,1
139.53051095823375,departure,139,41,5,5,overload,1
139.53051095823375,service_start,129,40,5,5,overload,1
139.6323772279285,arrival,171,40,5,5,overload,1
139.67063142621333,arrival,172,41,5,5,overload,1
139.82916296563255,arrival,173,42,5,5,overload,1
140.07925339400794,arrival,174,43,5,5,overload,1
140.10574201949632,arrival,175,44,5,5,overload,1
140.1317225033855,arrival,176,45,5,5,overload,1
140.13932515010367,arrival,177,46,5,5,overload,1
140.90647284824442,departure,125,47,5,5,overload,1
140.90647284824442,service_start,130,46,5,5,overload,1
141.1633683813466,arrival,178,46,5,5,overload,1
141.34591572058125,arrival,179,47,5,5,overload,1
141.48475259232146,departure,128,48,5,5,overload,1
141.48475259232146,service_start,131,47,5,5,overload,1
142.00785035681096,arrival,180,47,5,5,overload,1
142.06988412301357,departure,126,48,5,5,overload,1
142.06988412301357,service_start,132,47,5,5,overload,1
142.68346169810425,departure,132,47,5,5,overload,1
142.68346169810425,service_start,133,46,5,5,overload,1
143.20584132612086,departure,130,46,5,5,overload,1
143.20584132612086,service_start,134,45,5,5,overload,1
143.61651781141617,arrival,181,45,5,5,overload,1
144.94883413632476,departure,134,46,5,5,overload,1
144.94883413632476,service_start,135,45,5,5,overload,1
145.12724494447536,arrival,182,45,5,5,overload,1
145.15241653506962,arrival,183,46,5,5,overload,1
145.16001677289142,departure,133,47,5,5,overload,1
145.16001677289142,service_start,136,46,5,5,overload,1
146.43572136770945,departure,131,46,5,5,overload,1
146.43572136770945,service_start,137,45,5,5,overload,1
146.97532735215205,departure,137,45,5,5,overload,1
146.97532735215205,service_start,138,44,5,5,overload,1
147.44476816824584,departure,129,44,5,5,overload,1
147.44476816824584,service_start,140,43,5,5,overload,1
147.44540854735612,arrival,184,43,5,5,overload,1
147.48528233241817,arrival,185,44,5,5,overload,1
147.5512692880897,departure,135,45,5,5,overload,1
147.5512692880897,service_start,141,44,5,5,overload,1
148.28629645072013,arrival,186,44,5,5,overload,1
148.651147811742,arrival,187,45,5,5,overload,1
149.10907223959984,arrival,188,46,5,5,overload,1
149.44377808213252,departure,127,47,5,5,overload,1
149.44377808213252,service_start,142,46,5,5,overload,1
149.81475050466318,arrival,189,46,5,5,overload,1
150.10012456292304,departure,141,47,5,5,overload,1
150.10012456292304,service_start,143,46,5,5,overload,1
150.79857092171764,departure,140,46,5,5,overload,1
150.79857092171764,service_start,144,45,5,5,overload,1
150.91185795047562,departure,136,45,5,5,overload,1
150.91185795047562,service_start,145,44,5,5,overload,1
151.36372946288463,arrival,190,44,5,5,overload,1
151.3867557309611,arrival,191,45,5,5,overload,1
152.28622989835344,arrival,192,46,5,5,overload,1
152.9695154007506,departure,142,47,5,5,overload,1
152.9695154007506,service_start,146,46,5,5,overload,1
153.15208856672274,departure,145,46,5,5,overload,1
153.15208856672274,service_start,147,45,5,5,overload,1
153.9792341526557,departure,146,45,5,5,overload,1
153.9792341526557,service_start,148,44,5,5,overload,1
154.22562987962922,arrival,193,44,5,5,overload,1
154.40477253912613,arrival,194,45,5,5,overload,1
154.45448761950783,departure,148,46,5,5,overload,1
154.45448761950783,service_start,149,45,5,5,overload,1
154.48674292040798,departure,144,45,5,5,overload,1
154.48674292040798,service_start,150,44,5,5,overload,1
155.5247746023141,departure,149,44,5,5,overload,1
155.5247746023141,service_start,151,43,5,5,overload,1
155.9119884140324,departure,151,43,5,5,overload,1
155.9119884140324,service_start,152,42,5,5,overload,1
156.65183267349553,arrival,195,42,5,5,overload,1
156.68724820040342,arrival,196,43,5,5,overload,1
156.86372729857555,departure,152,44,5,5,overload,1
156.86372729857555,service_start,153,43,5,5,overload,1
157.06974385427742,arrival,197,43,5,5,overload,1
157.10140124499372,arrival,198,44,5,5,overload,1
159.22567504225663,departure,143,45,5,5,overload,1
159.22567504225663,service_start,154,44,5,5,overload,1
159.22769391640782,departure,147,44,5,5,overload,1
159.22769391640782,service_start,155,43,5,5,overload,1
159.62451932322688,departure,150,43,5,5,overload,1
159.62451932322688,service_start,156,42,5,5,overload,1
159.6581987361163,departure,156,42,5,5,overload,1
159.6581987361163,service_start,157,41,5,5,overload,1
159.8860287473746,arrival,199,41,5,5,overload,1
160.42679199737506,arrival,200,42,5,5,overload,1
160.48521438906502,departure,153,43,5,5,overload,1
160.48521438906502,service_start,158,42,5,5,overload,1
160.49025340443467,departure,155,42,5,5,overload,1
160.49025340443467,service_start,159,41,5,5,overload,1
160.6065923918673,departure,157,41,5,5,overload,1
160.6065923918673,service_start,160,40,5,5,overload,1
160.61114346848248,arrival,201,40,5,5,overload,1
160.8451585501166,departure,160,41,5,5,overload,1
160.8451585501166,service_start,161,40,5,5,overload,1
160.85274671486198,departure,158,40,5,5,overload,1
160.85274671486198,service_start,162,39,5,5,overload,1
161.07494057547802,arrival,202,39,5,5,overload,1
161.34959284370885,departure,161,40,5,5,overload,1
161.34959284370885,service_start,163,39,5,5,overload,1
161.40530372499654,departure,162,39,5,5,overload,1
161.40530372499654,service_start,164,38,5,5,overload,1
161.5247144889201,departure,163,38,5,5,overload,1
161.5247144889201,service_start,165,37,5,5,overload,1
162.22001227406656,departure,138,37,5,5,overload,1
162.22001227406656,service_start,166,36,5,5,overload,1
162.66451212627172,departure,159,36,5,5,overload,1
162.66451212627172,service_start,167,35,5,5,overload,1
162.8094148543299,arrival,203,35,5,5,overload,1
163.17324488553925,arrival,204,36,5,5,overload,1
163.6428787725231,arrival,205,37,5,5,overload,1
164.36571714242322,departure,154,38,5,5,overload,1
164.36571714242322,service_start,168,37,5,5,overload,1
164.53927295017752,arrival,206,37,5,5,overload,1
164.76247323242316,arrival,207,38,5,5,overload,1
165.01532563633518,departure,164,39,5,5,overload,1
165.01532563633518,service_start,169,38,5,5,overload,1
165.14369394621815,arrival,208,38,5,5,overload,1
165.16990349796956,departure,169,39,5,5,overload,1
165.16990349796956,service_start,170,38,5,5,overload,1
165.49314930281685,arrival,209,38,5,5,overload,1
165.58537403885472,arrival,210,39,5,5,overload,1
165.69244178631234,departure,168,40,5,5,overload,1
165.69244178631234,service_start,171,39,5,5,overload,1
166.185330445528,arrival,211,39,5,5,overload,1
166.3631860132438,arrival,212,40,5,5,overload,1
166.5314102178973,departure,167,41,5,5,overload,1
166.5314102178973,service_start,172,40,5,5,overload,1
166.83648932366108,arrival,213,40,5,5,overload,1
166.9692289584646,arrival,214,41,5,5,overload,1
167.2568165793022,departure,172,42,5,5,overload,1
167.2568165793022,service_start,173,41,5,5,overload,1
167.3630726889285,departure,170,41,5,5,overload,1
167.3630726889285,service_start,174,40,5,5,overload,1
167.5978953642443,arrival,215,40,5,5,overload,1
167.73705151532923,departure,171,41,5,5,overload,1
